Frame	ID	CentroidX	CentroidY	Width	Length	Area	Angle	NONpro	PARcau	SPIter	STEvir
2	94	796	604	8.0	26.0	127.0	90.0	0.49765834	0.0005604071	0.5015265	0.00025474545
2	95	628	481	11.18	30.414	152.0	9.462	0.6618702	0.0008534472	0.3369642	0.00031216402
2	96	1729	64	22.051	26.349	210.0	33.69	0.69239	0.014129733	0.29276136	0.0007188043
2	97	687	37	12.0	13.0	122.5	90.0	0.95830816	0.0003237524	0.041302856	6.5235174e-05
3	10	1029	2842	33.0	49.0	1023.5	90.0	0.68888414	0.27570796	0.0072213025	0.028186696
3	17	3111	2536	19.0	19.0	299.0	90.0	0.999902	7.762035e-05	5.872511e-07	1.9740997e-05
3	20	3222	2460	31.0	33.0	823.0	90.0	0.9998048	0.00012533688	1.128133e-05	5.8539586e-05
3	32	1391	1962	20.0	21.0	333.0	90.0	0.99984026	8.195686e-05	7.737902e-06	6.998953e-05
3	38	3220	1780	25.0	26.0	525.0	90.0	0.9999943	3.3961282e-06	1.17292025e-07	2.2104634e-06
3	68	2969	545	18.0	23.0	329.0	90.0	0.994816	0.0014820516	0.0036286989	7.324072e-05
3	28	2646	2066	26.173	27.586	498.0	43.025	0.9761489	0.0044946223	0.01928814	6.83091e-05
3	45	4316	1648	16.378	22.051	269.0	32.471	0.8396394	0.009809982	0.14995086	0.00059980544
3	29	4291	2041	14.56	36.401	378.5	16.699	0.796564	0.0059587723	0.19719623	0.0002809676
3	8	476	2878	7.28	21.84	112.5	15.945	0.9196724	0.0005924335	0.07941871	0.0003164122
3	2	3288	3007	20.0	21.0	351.5	90.0	0.999951	4.558843e-05	3.5444793e-07	3.101527e-06
3	16	1117	2550	29.0	32.0	728.5	90.0	0.9994369	0.00023363017	3.674956e-05	0.0002926952
3	23	2975	2379	17.0	19.0	265.0	90.0	0.99997306	2.3443205e-05	1.4014752e-07	3.3746896e-06
3	31	4021	1975	13.0	15.0	156.0	90.0	0.99937695	0.0001031792	0.0005169083	2.9925075e-06
3	35	4652	1896	12.0	18.0	157.5	90.0	0.9766113	0.006856348	0.01607264	0.00045972885
3	44	2030	1664	19.0	19.0	287.5	90.0	0.9998596	0.00013002488	3.5258745e-06	6.8373424e-06
3	51	4144	1549	15.0	17.0	221.0	90.0	0.9998437	0.00014908584	4.387919e-06	2.7173382e-06
3	64	2085	882	11.0	11.0	101.0	90.0	0.9992742	0.00013833039	0.0005664506	2.1019643e-05
3	12	3389	2741	18.682	51.42	732.0	75.964	0.032111447	0.92006963	0.0022517254	0.045567255
3	37	2879	1802	17.72	50.596	706.5	18.435	0.0005789922	0.99454767	0.00010544825	0.004767884
3	53	3189	1492	31.305	33.541	825.0	63.435	0.9999198	3.340832e-05	1.4907592e-05	3.1962765e-05
